Po..Continuous.,k,Experiment,Replicate,Control,Flow Rate,Biofilm,Po..catagorical.,Stem.Density,Control,R.square.,ParticleType,Bin.Number,Particle.size
0.20944,2.33E-05,6,3,1,6.1,0,Low,7209,1,0.31179,3,3,1.89
0.32287,3.02E-05,6,3,1,6.1,0,Low,7209,1,0.44226,3,4,2.23
0.47309,3.57E-05,6,3,1,6.1,0,Low,7209,1,0.4878,3,5,2.63
0.63656,3.81E-05,6,3,1,6.1,0,Low,7209,1,0.66868,3,6,3.11
0.72868,3.69E-05,6,3,1,6.1,0,Low,7209,1,0.76292,3,7,3.67
0.79239,3.54E-05,6,3,1,6.1,0,Low,7209,1,0.81138,3,8,4.35
0.79095,3.82E-05,6,3,1,6.1,0,Low,7209,1,0.83976,3,9,5.11
0.77353,5.16E-05,6,3,1,6.1,0,Low,7209,1,0.87479,3,10,6.03
0.77225,8.38E-05,6,3,1,6.1,0,Low,7209,1,0.93037,3,11,7.11
0.75036,0.00012916,6,3,1,6.1,0,Low,7209,1,0.94961,3,12,8.39
0.73262,0.00017471,6,3,1,6.1,0,Low,7209,1,0.95149,3,13,9.9
0.65844,0.00020007,6,3,1,6.1,0,Low,7209,1,0.9553,3,14,11.7
0.54108,0.00020389,6,3,1,6.1,0,Low,7209,1,0.95702,3,15,13.8
0.43894,0.00021487,6,3,1,6.1,0,Low,7209,1,0.95074,3,16,16.3
0.38015,0.00024398,6,3,1,6.1,0,Low,7209,1,0.94492,3,17,19.2
0.33579,0.00026966,6,3,1,6.1,0,Low,7209,1,0.93155,3,18,22.7
0.28679,0.00027912,6,3,1,6.1,0,Low,7209,1,0.91345,3,19,26.7
0.26369,0.0002982,6,3,1,6.1,0,Low,7209,1,0.88941,3,20,31.6
0.23108,0.00029087,6,3,1,6.1,0,Low,7209,1,0.84795,3,21,37.2
0.20642,0.00028761,6,3,1,6.1,0,Low,7209,1,0.78995,3,22,43.9
0.18498,0.00027187,6,3,1,6.1,0,Low,7209,1,0.70242,3,23,51.9
0.17119,0.00025639,6,3,1,6.1,0,Low,7209,1,0.58378,3,24,61.2
0.16625,0.00023842,6,3,1,6.1,0,Low,7209,1,0.4476,3,25,72.2
0.15044,0.00023176,6,3,1,6.1,0,Low,7209,1,0.31635,3,26,85.2
0.11504,0.00023827,6,3,1,6.1,0,Low,7209,1,0.24533,3,27,101
0.072816,0.00026649,6,3,1,6.1,0,Low,7209,1,0.23211,3,28,119
0.037796,0.00033786,6,3,1,6.1,0,Low,7209,1,0.24619,3,29,140
0.016159,0.00042937,6,3,1,6.1,0,Low,7209,1,0.2076,3,30,165
0.0079795,0.0005933,6,3,1,6.1,0,Low,7209,1,0.1579,3,31,195
0.0061022,0.0007059,6,3,1,6.1,0,Low,7209,1,0.10817,3,32,230
0.092029,-1.62E-05,7,1,1,1.8,1,Low,7209,1,0.039386,3,1,1.36
0.12054,-7.67E-06,7,1,1,1.8,1,Low,7209,1,0.019403,3,2,1.6
0.1759,4.00E-06,7,1,1,1.8,1,Low,7209,1,0.01368,3,3,1.89
0.29188,1.77E-05,7,1,1,1.8,1,Low,7209,1,0.24432,3,4,2.23
0.45216,2.85E-05,7,1,1,1.8,1,Low,7209,1,0.39706,3,5,2.63
0.62056,3.32E-05,7,1,1,1.8,1,Low,7209,1,0.603,3,6,3.11
0.70548,3.22E-05,7,1,1,1.8,1,Low,7209,1,0.70909,3,7,3.67
0.76514,3.21E-05,7,1,1,1.8,1,Low,7209,1,0.81357,3,8,4.35
0.75633,3.72E-05,7,1,1,1.8,1,Low,7209,1,0.86472,3,9,5.11
0.73123,5.32E-05,7,1,1,1.8,1,Low,7209,1,0.87701,3,10,6.03
0.73324,9.01E-05,7,1,1,1.8,1,Low,7209,1,0.91294,3,11,7.11
0.72176,0.00014108,7,1,1,1.8,1,Low,7209,1,0.93444,3,12,8.39
0.72489,0.00019482,7,1,1,1.8,1,Low,7209,1,0.94242,3,13,9.9
0.67733,0.00023113,7,1,1,1.8,1,Low,7209,1,0.94948,3,14,11.7
0.58218,0.00024826,7,1,1,1.8,1,Low,7209,1,0.95228,3,15,13.8
0.49816,0.00027581,7,1,1,1.8,1,Low,7209,1,0.94834,3,16,16.3
0.46263,0.00032612,7,1,1,1.8,1,Low,7209,1,0.94534,3,17,19.2
0.45376,0.00038659,7,1,1,1.8,1,Low,7209,1,0.93596,3,18,22.7
0.43519,0.00044271,7,1,1,1.8,1,Low,7209,1,0.92336,3,19,26.7
0.45878,0.00052122,7,1,1,1.8,1,Low,7209,1,0.90919,3,20,31.6
0.44847,0.00057421,7,1,1,1.8,1,Low,7209,1,0.90505,3,21,37.2
0.45756,0.0006463,7,1,1,1.8,1,Low,7209,1,0.88617,3,22,43.9
0.46569,0.00070918,7,1,1,1.8,1,Low,7209,1,0.86193,3,23,51.9
0.48307,0.00076842,7,1,1,1.8,1,Low,7209,1,0.8327,3,24,61.2
0.48415,0.00080635,7,1,1,1.8,1,Low,7209,1,0.80197,3,25,72.2
0.42583,0.00083814,7,1,1,1.8,1,Low,7209,1,0.7526,3,26,85.2
0.30212,0.00087158,7,1,1,1.8,1,Low,7209,1,0.70353,3,27,101
0.19264,0.00091629,7,1,1,1.8,1,Low,7209,1,0.65289,3,28,119
0.11911,0.00097505,7,1,1,1.8,1,Low,7209,1,0.61575,3,29,140
0.076355,0.0010481,7,1,1,1.8,1,Low,7209,1,0.57968,3,30,165
0.05569,0.001097,7,1,1,1.8,1,Low,7209,1,0.5045,3,31,195
0.05439,0.0010997,7,1,1,1.8,1,Low,7209,1,0.45231,3,32,230
0.11209,1.56E-06,7,2,1,1.8,1,Low,7209,1,0.00034734,3,1,1.36
0.14105,6.81E-06,7,2,1,1.8,1,Low,7209,1,0.014095,3,2,1.6
0.19568,1.37E-05,7,2,1,1.8,1,Low,7209,1,0.12153,3,3,1.89
0.30855,2.07E-05,7,2,1,1.8,1,Low,7209,1,0.2582,3,4,2.23
0.46036,2.57E-05,7,2,1,1.8,1,Low,7209,1,0.2982,3,5,2.63
0.62433,2.61E-05,7,2,1,1.8,1,Low,7209,1,0.4302,3,6,3.11
0.71019,2.32E-05,7,2,1,1.8,1,Low,7209,1,0.50759,3,7,3.67
0.76045,2.12E-05,7,2,1,1.8,1,Low,7209,1,0.63314,3,8,4.35
0.74253,2.41E-05,7,2,1,1.8,1,Low,7209,1,0.76553,3,9,5.11
0.71367,3.82E-05,7,2,1,1.8,1,Low,7209,1,0.79244,3,10,6.03
0.70997,7.26E-05,7,2,1,1.8,1,Low,7209,1,0.86829,3,11,7.11
0.69581,0.00012023,7,2,1,1.8,1,Low,7209,1,0.9095,3,12,8.39
0.6876,0.00016892,7,2,1,1.8,1,Low,7209,1,0.92489,3,13,9.9
0.62179,0.00020051,7,2,1,1.8,1,Low,7209,1,0.93668,3,14,11.7
0.51094,0.00021379,7,2,1,1.8,1,Low,7209,1,0.94016,3,15,13.8
0.41746,0.000235,7,2,1,1.8,1,Low,7209,1,0.93477,3,16,16.3
0.3691,0.00027562,7,2,1,1.8,1,Low,7209,1,0.93401,3,17,19.2
0.33191,0.00032072,7,2,1,1.8,1,Low,7209,1,0.92369,3,18,22.7
0.28646,0.00035797,7,2,1,1.8,1,Low,7209,1,0.9101,3,19,26.7
0.26537,0.00041472,7,2,1,1.8,1,Low,7209,1,0.89144,3,20,31.6
0.23054,0.00044904,7,2,1,1.8,1,Low,7209,1,0.86201,3,21,37.2
0.20186,0.0005046,7,2,1,1.8,1,Low,7209,1,0.81672,3,22,43.9
0.17282,0.00055093,7,2,1,1.8,1,Low,7209,1,0.74637,3,23,51.9
0.14323,0.00058273,7,2,1,1.8,1,Low,7209,1,0.65213,3,24,61.2
0.11738,0.00061901,7,2,1,1.8,1,Low,7209,1,0.57072,3,25,72.2
0.083976,0.00067734,7,2,1,1.8,1,Low,7209,1,0.48667,3,26,85.2
0.052095,0.00080599,7,2,1,1.8,1,Low,7209,1,0.46763,3,27,101
0.02701,0.00087569,7,2,1,1.8,1,Low,7209,1,0.36045,3,28,119
0.013894,0.00099637,7,2,1,1.8,1,Low,7209,1,0.25235,3,29,140
0.0079123,0.00114,7,2,1,1.8,1,Low,7209,1,0.13816,3,30,165
0.005199,0.0010529,7,2,1,1.8,1,Low,7209,1,0.036266,3,31,195
0.0041848,0.001435,7,2,1,1.8,1,Low,7209,1,0.056869,3,32,230
0.13287,1.06E-05,7,3,1,1.8,1,Low,7209,1,0.015098,3,1,1.36
0.16183,1.55E-05,7,3,1,1.8,1,Low,7209,1,0.067129,3,2,1.6
0.2159,2.19E-05,7,3,1,1.8,1,Low,7209,1,0.26178,3,3,1.89
0.32935,2.79E-05,7,3,1,1.8,1,Low,7209,1,0.39046,3,4,2.23
0.48092,3.18E-05,7,3,1,1.8,1,Low,7209,1,0.40054,3,5,2.63
0.65267,3.08E-05,7,3,1,1.8,1,Low,7209,1,0.52255,3,6,3.11
0.74593,2.66E-05,7,3,1,1.8,1,Low,7209,1,0.55798,3,7,3.67
0.78934,2.27E-05,7,3,1,1.8,1,Low,7209,1,0.67169,3,8,4.35
0.76439,2.45E-05,7,3,1,1.8,1,Low,7209,1,0.77403,3,9,5.11
0.73982,4.01E-05,7,3,1,1.8,1,Low,7209,1,0.79887,3,10,6.03
0.75184,7.97E-05,7,3,1,1.8,1,Low,7209,1,0.87385,3,11,7.11
0.76248,0.00013518,7,3,1,1.8,1,Low,7209,1,0.91017,3,12,8.39
0.76951,0.00019149,7,3,1,1.8,1,Low,7209,1,0.91967,3,13,9.9
0.68525,0.00022779,7,3,1,1.8,1,Low,7209,1,0.91894,3,14,11.7
0.53817,0.00024348,7,3,1,1.8,1,Low,7209,1,0.89907,3,15,13.8
0.42603,0.00026938,7,3,1,1.8,1,Low,7209,1,0.86312,3,16,16.3
0.37402,0.00031837,7,3,1,1.8,1,Low,7209,1,0.82702,3,17,19.2
0.32709,0.00037206,7,3,1,1.8,1,Low,7209,1,0.76663,3,18,22.7
0.27233,0.00041617,7,3,1,1.8,1,Low,7209,1,0.6925,3,19,26.7
0.24496,0.00047991,7,3,1,1.8,1,Low,7209,1,0.60689,3,20,31.6
0.20519,0.00051593,7,3,1,1.8,1,Low,7209,1,0.51879,3,21,37.2
0.17237,0.00056784,7,3,1,1.8,1,Low,7209,1,0.42757,3,22,43.9
0.14137,0.00060612,7,3,1,1.8,1,Low,7209,1,0.34335,3,23,51.9
0.11568,0.00063727,7,3,1,1.8,1,Low,7209,1,0.2542,3,24,61.2
0.095692,0.00064827,7,3,1,1.8,1,Low,7209,1,0.17429,3,25,72.2
0.070479,0.00064117,7,3,1,1.8,1,Low,7209,1,0.096514,3,26,85.2
0.044426,0.00060207,7,3,1,1.8,1,Low,7209,1,0.041516,3,27,101
0.025972,0.00052101,7,3,1,1.8,1,Low,7209,1,0.013828,3,28,119
0.015487,0.00042156,7,3,1,1.8,1,Low,7209,1,0.0044827,3,29,140
0.010759,0.00033424,7,3,1,1.8,1,Low,7209,1,0.0015916,3,30,165
0.0097488,0.00022935,7,3,1,1.8,1,Low,7209,1,0.00045641,3,31,195
0.011955,0.00014232,7,3,1,1.8,1,Low,7209,1,0.00015112,3,32,230
0.052897,-5.42E-05,8,1,1,4.5,1,Low,7209,1,0.30417,3,1,1.36
0.085905,-3.74E-05,8,1,1,4.5,1,Low,7209,1,0.2732,3,2,1.6
0.16366,-1.61E-05,8,1,1,4.5,1,Low,7209,1,0.1255,3,3,1.89
0.34797,5.30E-06,8,1,1,4.5,1,Low,7209,1,0.028239,3,4,2.23
0.63574,2.07E-05,8,1,1,4.5,1,Low,7209,1,0.38477,3,5,2.63
0.86932,2.32E-05,8,1,1,4.5,1,Low,7209,1,0.7357,3,6,3.11
0.89593,1.70E-05,8,1,1,4.5,1,Low,7209,1,0.74951,3,7,3.67
0.91366,1.43E-05,8,1,1,4.5,1,Low,7209,1,0.7168,3,8,4.35
0.85982,1.96E-05,8,1,1,4.5,1,Low,7209,1,0.66182,3,9,5.11
0.82528,4.00E-05,8,1,1,4.5,1,Low,7209,1,0.84077,3,10,6.03
0.92352,8.41E-05,8,1,1,4.5,1,Low,7209,1,0.93126,3,11,7.11
1.0478,0.00013528,8,1,1,4.5,1,Low,7209,1,0.9579,3,12,8.39
1.167,0.00018245,8,1,1,4.5,1,Low,7209,1,0.96666,3,13,9.9
1.0668,0.00021675,8,1,1,4.5,1,Low,7209,1,0.95816,3,14,11.7
0.77697,0.00022672,8,1,1,4.5,1,Low,7209,1,0.94271,3,15,13.8
0.55404,0.00021993,8,1,1,4.5,1,Low,7209,1,0.93241,3,16,16.3
0.50217,0.0002436,8,1,1,4.5,1,Low,7209,1,0.93283,3,17,19.2
0.48758,0.00029783,8,1,1,4.5,1,Low,7209,1,0.92689,3,18,22.7
0.40492,0.00032623,8,1,1,4.5,1,Low,7209,1,0.90981,3,19,26.7
0.39355,0.00036991,8,1,1,4.5,1,Low,7209,1,0.89104,3,20,31.6
0.3303,0.00040347,8,1,1,4.5,1,Low,7209,1,0.86019,3,21,37.2
0.30226,0.00045356,8,1,1,4.5,1,Low,7209,1,0.8418,3,22,43.9
0.26462,0.000495,8,1,1,4.5,1,Low,7209,1,0.78173,3,23,51.9
0.23651,0.00054342,8,1,1,4.5,1,Low,7209,1,0.70225,3,24,61.2
0.20337,0.00057596,8,1,1,4.5,1,Low,7209,1,0.61883,3,25,72.2
0.15193,0.00062245,8,1,1,4.5,1,Low,7209,1,0.55198,3,26,85.2
0.096425,0.00072695,8,1,1,4.5,1,Low,7209,1,0.55489,3,27,101
0.052273,0.00085765,8,1,1,4.5,1,Low,7209,1,0.53767,3,28,119
0.025003,0.001004,8,1,1,4.5,1,Low,7209,1,0.47225,3,29,140
0.011006,0.001096,8,1,1,4.5,1,Low,7209,1,0.41407,3,30,165
0.0058142,0.0011896,8,1,1,4.5,1,Low,7209,1,0.31146,3,31,195
0.0050281,0.0013091,8,1,1,4.5,1,Low,7209,1,0.23143,3,32,230
0.064499,-5.21E-06,8,2,1,4.5,1,Low,7209,1,0.0038469,3,1,1.36
0.098858,1.58E-06,8,2,1,4.5,1,Low,7209,1,0.00066605,3,2,1.6
0.17498,1.01E-05,8,2,1,4.5,1,Low,7209,1,0.05849,3,3,1.89
0.34506,1.85E-05,8,2,1,4.5,1,Low,7209,1,0.2791,3,4,2.23
0.59688,2.47E-05,8,2,1,4.5,1,Low,7209,1,0.43137,3,5,2.63
0.80613,2.63E-05,8,2,1,4.5,1,Low,7209,1,0.64226,3,6,3.11
0.84331,2.57E-05,8,2,1,4.5,1,Low,7209,1,0.72744,3,7,3.67
0.86088,2.73E-05,8,2,1,4.5,1,Low,7209,1,0.85908,3,8,4.35
0.78868,3.14E-05,8,2,1,4.5,1,Low,7209,1,0.90717,3,9,5.11
0.70205,4.24E-05,8,2,1,4.5,1,Low,7209,1,0.88896,3,10,6.03
0.67551,7.02E-05,8,2,1,4.5,1,Low,7209,1,0.91295,3,11,7.11
0.64968,0.00010748,8,2,1,4.5,1,Low,7209,1,0.92939,3,12,8.39
0.62948,0.00013978,8,2,1,4.5,1,Low,7209,1,0.93227,3,13,9.9
0.52629,0.00014745,8,2,1,4.5,1,Low,7209,1,0.92595,3,14,11.7
0.37642,0.00013352,8,2,1,4.5,1,Low,7209,1,0.88844,3,15,13.8
0.27414,0.00013291,8,2,1,4.5,1,Low,7209,1,0.83614,3,16,16.3
0.23113,0.00015899,8,2,1,4.5,1,Low,7209,1,0.82439,3,17,19.2
0.19341,0.0001872,8,2,1,4.5,1,Low,7209,1,0.77626,3,18,22.7
0.15022,0.00021243,8,2,1,4.5,1,Low,7209,1,0.70284,3,19,26.7
0.12989,0.0002632,8,2,1,4.5,1,Low,7209,1,0.6454,3,20,31.6
0.10115,0.00029915,8,2,1,4.5,1,Low,7209,1,0.56358,3,21,37.2
0.081823,0.00036417,8,2,1,4.5,1,Low,7209,1,0.50015,3,22,43.9
0.061368,0.00041025,8,2,1,4.5,1,Low,7209,1,0.42888,3,23,51.9
0.042605,0.00044488,8,2,1,4.5,1,Low,7209,1,0.35271,3,24,61.2
0.02912,0.00050672,8,2,1,4.5,1,Low,7209,1,0.33529,3,25,72.2
0.01669,0.00058838,8,2,1,4.5,1,Low,7209,1,0.31145,3,26,85.2
0.0073809,0.00067903,8,2,1,4.5,1,Low,7209,1,0.25978,3,27,101
0.002659,0.0007542,8,2,1,4.5,1,Low,7209,1,0.16591,3,28,119
0.0011106,0.00083958,8,2,1,4.5,1,Low,7209,1,0.071493,3,29,140
0.00056229,0.0010339,8,2,1,4.5,1,Low,7209,1,0.037678,3,30,165
0.00020343,0.00092469,8,2,1,4.5,1,Low,7209,1,0.023517,3,31,195
0.00010287,0.00079958,8,2,1,4.5,1,Low,7209,1,0.016653,3,32,230
0.089304,2.82E-05,8,3,1,4.5,1,Low,7209,1,0.087426,3,1,1.36
0.12662,2.55E-05,8,3,1,4.5,1,Low,7209,1,0.1315,3,2,1.6
0.20406,2.26E-05,8,3,1,4.5,1,Low,7209,1,0.21181,3,3,1.89
0.3708,2.14E-05,8,3,1,4.5,1,Low,7209,1,0.29575,3,4,2.23
0.60786,2.14E-05,8,3,1,4.5,1,Low,7209,1,0.31622,3,5,2.63
0.81969,2.32E-05,8,3,1,4.5,1,Low,7209,1,0.55504,3,6,3.11
0.86903,2.40E-05,8,3,1,4.5,1,Low,7209,1,0.68506,3,7,3.67
0.87428,2.28E-05,8,3,1,4.5,1,Low,7209,1,0.8023,3,8,4.35
0.8064,2.68E-05,8,3,1,4.5,1,Low,7209,1,0.85615,3,9,5.11
0.75042,4.38E-05,8,3,1,4.5,1,Low,7209,1,0.88397,3,10,6.03
0.76962,8.12E-05,8,3,1,4.5,1,Low,7209,1,0.91968,3,11,7.11
0.7982,0.00012995,8,3,1,4.5,1,Low,7209,1,0.93947,3,12,8.39
0.8237,0.00017363,8,3,1,4.5,1,Low,7209,1,0.94858,3,13,9.9
0.7259,0.00019721,8,3,1,4.5,1,Low,7209,1,0.95337,3,14,11.7
0.5447,0.0002046,8,3,1,4.5,1,Low,7209,1,0.94403,3,15,13.8
0.41588,0.00022426,8,3,1,4.5,1,Low,7209,1,0.92943,3,16,16.3
0.36732,0.00026868,8,3,1,4.5,1,Low,7209,1,0.92865,3,17,19.2
0.32107,0.00031686,8,3,1,4.5,1,Low,7209,1,0.91465,3,18,22.7
0.25807,0.00035615,8,3,1,4.5,1,Low,7209,1,0.89145,3,19,26.7
0.23245,0.00042088,8,3,1,4.5,1,Low,7209,1,0.86604,3,20,31.6
0.18703,0.00046514,8,3,1,4.5,1,Low,7209,1,0.825,3,21,37.2
0.15368,0.0005234,8,3,1,4.5,1,Low,7209,1,0.77745,3,22,43.9
0.12231,0.00058019,8,3,1,4.5,1,Low,7209,1,0.70922,3,23,51.9
0.090338,0.00060208,8,3,1,4.5,1,Low,7209,1,0.59351,3,24,61.2
0.067482,0.00065293,8,3,1,4.5,1,Low,7209,1,0.53506,3,25,72.2
0.044642,0.00074127,8,3,1,4.5,1,Low,7209,1,0.50189,3,26,85.2
0.025586,0.00087172,8,3,1,4.5,1,Low,7209,1,0.48548,3,27,101
0.013831,0.0011161,8,3,1,4.5,1,Low,7209,1,0.43477,3,28,119
0.0066422,0.0013841,8,3,1,4.5,1,Low,7209,1,0.35135,3,29,140
0.0030034,0.0017619,8,3,1,4.5,1,Low,7209,1,0.25943,3,30,165
0.0013868,0.0018249,8,3,1,4.5,1,Low,7209,1,0.075625,3,31,195
0.0010733,0.0010931,8,3,1,4.5,1,Low,7209,1,0.018102,3,32,230
0.073469,-4.90E-05,9,1,1,6.1,1,Low,7209,1,0.29218,3,1,1.36
0.11195,-3.29E-05,9,1,1,6.1,1,Low,7209,1,0.25532,3,2,1.6
0.19693,-1.21E-05,9,1,1,6.1,1,Low,7209,1,0.091896,3,3,1.89
0.38381,8.22E-06,9,1,1,6.1,1,Low,7209,1,0.082268,3,4,2.23
0.65408,2.22E-05,9,1,1,6.1,1,Low,7209,1,0.46861,3,5,2.63
0.85454,2.13E-05,9,1,1,6.1,1,Low,7209,1,0.75491,3,6,3.11
0.85172,1.08E-05,9,1,1,6.1,1,Low,7209,1,0.55921,3,7,3.67
0.82948,3.70E-06,9,1,1,6.1,1,Low,7209,1,0.14408,3,8,4.35
0.78096,6.93E-06,9,1,1,6.1,1,Low,7209,1,0.21036,3,9,5.11
0.78544,2.62E-05,9,1,1,6.1,1,Low,7209,1,0.68515,3,10,6.03
0.92246,6.76E-05,9,1,1,6.1,1,Low,7209,1,0.8716,3,11,7.11
1.0813,0.00011458,9,1,1,6.1,1,Low,7209,1,0.92958,3,12,8.39
1.2225,0.00015966,9,1,1,6.1,1,Low,7209,1,0.96064,3,13,9.9
1.1482,0.00019845,9,1,1,6.1,1,Low,7209,1,0.96768,3,14,11.7
0.88536,0.00022309,9,1,1,6.1,1,Low,7209,1,0.96472,3,15,13.8
0.67201,0.00023603,9,1,1,6.1,1,Low,7209,1,0.96234,3,16,16.3
0.62278,0.00026809,9,1,1,6.1,1,Low,7209,1,0.96288,3,17,19.2
0.60828,0.00032355,9,1,1,6.1,1,Low,7209,1,0.95933,3,18,22.7
0.51783,0.00035566,9,1,1,6.1,1,Low,7209,1,0.95063,3,19,26.7
0.51137,0.00039773,9,1,1,6.1,1,Low,7209,1,0.94148,3,20,31.6
0.4395,0.00042405,9,1,1,6.1,1,Low,7209,1,0.92364,3,21,37.2
0.40671,0.00045713,9,1,1,6.1,1,Low,7209,1,0.89407,3,22,43.9
0.35997,0.0004768,9,1,1,6.1,1,Low,7209,1,0.8416,3,23,51.9
0.3295,0.00050704,9,1,1,6.1,1,Low,7209,1,0.76671,3,24,61.2
0.2937,0.00051981,9,1,1,6.1,1,Low,7209,1,0.66126,3,25,72.2
0.23265,0.00055418,9,1,1,6.1,1,Low,7209,1,0.57987,3,26,85.2
